id,decision_point_id,ticker,status,entry_date,entry_price,position_size,attractiveness_score,stop_loss_price,take_profit_target,trailing_stop_pct,max_hold_days,exit_triggers,high_water_mark,last_reviewed_at,current_price,unrealized_pnl_pct,exit_date,exit_price,realized_pnl_pct,exit_reason,entry_price_source,entry_spy_price,exit_spy_price
1,59,APA,CLOSED,2026-04-14,37.03,10000.0,5.4760211932913885,35.5,39.49,5.0,5,"[""Price encounters heavy resistance at the broken SMA20 ($40.32) or RSI crosses back above 65.""]",37.04,2026-04-18T18:18:50.470835,35.72,1.4772727272727157,2026-04-18,35.72,-3.537672157709971,DESK_DECISION,decision_date_close,694.46,
2,42,PANW,CLOSED,2026-04-14,155.73,10000.0,5.594519708688225,161.0,166.98,3.0,5,"[""Price reaches SMA50 ($161.07) and struggles to break through, or Daily RSI pushes above 65.""]",164.08,2026-04-15T20:11:30.906196,164.08,11.619047619047628,2026-04-18,167.83,7.769858087715933,TAKE_PROFIT,price_at_decision,694.46,
3,40,NICE,CLOSED,2026-04-14,97.0,10000.0,5.686497592011663,100.75,104.46,1.5,14,"[""Price reaches $104.46 (gap fill) and momentum stalls, or approaches SMA50 near $113 with RSI crossing above 70.""]",101.99,2026-04-15T20:17:23.060979,101.99,7.357894736842099,2026-04-18,105.25,8.505154639175258,TAKE_PROFIT,price_at_decision,694.46,
4,36,DOCN,CLOSED,2026-04-14,75.59,10000.0,7.104089268538047,70.0,75.5,4.0,14,"[""Initiate partial profit-taking at the $77.00 offering price resistance; liquidate the remainder on a full gap-fill to $86.98 or if daily RSI exceeds 65.""]",77.72,2026-04-15T20:23:07.225270,77.72,11.666666666666673,2026-04-15,77.72,2.8178330466992927,TAKE_PROFIT,decision_date_close,694.46,699.94
5,30,TEAM,CLOSED,2026-04-14,58.96,10000.0,5.895642395956762,58.5,64.0,3.0,7,"[""Price approaches the 20-day SMA ($69.58) or RSI crosses back above 50, as institutional overhead supply and Nasdaq-100 exclusion risks will likely cap the relief rally.""]",66.0,2026-04-15T20:23:07.311992,66.0,15.183246073298434,2026-04-15,66.0,11.940298507462686,TAKE_PROFIT,decision_date_close,694.46,699.94
6,27,RBRK,CLOSED,2026-04-14,46.18,10000.0,5.115228176820274,0.0,0.0,0.07,5,"[""Price approaches the SMA50 ($52.43) or RSI crosses above 65, as overhead supply will likely cap the relief rally.""]",48.01,2026-04-14T20:47:26.994324,48.01,7.284916201117314,2026-04-14,48.01,3.9627544391511442,TAKE_PROFIT,decision_date_close,694.46,694.46
7,26,OKTA,CLOSED,2026-04-14,67.76,10000.0,6.226581151620607,64.79,71.5,5.0,5,"[""Price approaches the 8-day EMA ($75.04) or Monthly Pivot ($77.12) on declining volume; overhead supply from trapped buyers will heavily resist further upside.""]",67.36,2026-04-15T20:23:07.404523,67.36,3.9666615218397796,2026-04-18,72.24,6.611570247933869,TAKE_PROFIT,decision_date_close,694.46,
8,25,NOW,CLOSED,2026-04-14,89.81,10000.0,7.369794256220849,91.0,96.5,4.0,14,"[""RSI recovery above 60 combined with price approaching the SMA50 resistance zone at $108.71.""]",94.2,2026-04-15T20:28:27.641151,94.2,7.045454545454549,2026-04-18,96.72,7.694020710388594,TAKE_PROFIT,decision_date_close,694.46,
9,23,IOT,CLOSED,2026-04-14,26.85,10000.0,6.1492517721186655,25.5,28.5,4.0,5,"[""Price reaches SMA50 ($29.54) or RSI crosses back above 50, as overhead supply from trapped buyers will likely stall momentum.""]",28.855,2026-04-15T20:33:43.173264,28.855,15.42,2026-04-15,28.855,7.467411545623833,TAKE_PROFIT,decision_date_close,694.46,699.94
10,21,HUBS,CLOSED,2026-04-14,205.04,10000.0,4.383196764699654,0.0,0.0,0.07,5,"[""Take profits as price fills the gap near $217-$240. Exit entirely if the stock fails to hold the $194.50 support level on a daily close.""]",206.41,2026-04-14T21:04:09.073449,206.41,2.92196459735726,2026-04-14,206.41,0.6681623097932133,TAKE_PROFIT,decision_date_close,694.46,694.46
11,20,GWRE,CLOSED,2026-04-14,124.3,10000.0,4.405758411968685,116.5,131.5,0.07,7,"[""Price reaches the $131.50-$135.50 resistance zone and hourly stochastic crosses down, or volume dries up on the bounce.""]",136.68,2026-04-15T20:33:43.255136,136.68,12.958677685950418,2026-04-15,136.68,9.959774738535808,TAKE_PROFIT,decision_date_close,694.46,699.94
12,10,OVV,CLOSED,2026-04-14,56.16,10000.0,5.5394305184359505,53.5,60.73,4.0,5,"[""Price approaches the $60-$62 resistance zone (pre-drop levels and Citi price target) and RSI crosses above 65.""]",55.05,2026-04-15T19:31:10.886662,55.05,5.86538461538461,2026-04-18,52.84,-5.9116809116809,STOP_LOSS,decision_date_close,694.46,
13,97,CHRD,CLOSED,2026-04-18,123.58,10000.0,5.891642315442599,129.5,132.8,1.5,5,"[""Price reaches the SMA30 ($132.80) or RSI crosses above 60 on the relief bounce.""]",131.005,2026-04-21T22:09:53.253225,131.005,6.309340258054038,2026-04-23,136.91,10.786535038032042,TAKE_PROFIT,decision_date_close,,708.45
14,119,BVN,CLOSED,2026-04-21,31.76,10000.0,5.406762564687307,29.8,35.0,0.07,14,"[""Price hits the 50-day SMA near $36.85, or RSI exceeds 70 on the daily chart accompanied by a reversal signal.""]",32.41,2026-04-28T20:48:37.299955,30.7,-3.3375314861461023,2026-04-28,30.7,-3.3375314861461023,DESK_DECISION,decision_date_close,704.08,711.69
15,126,IAG,CLOSED,2026-04-21,16.83,10000.0,5.6966089016332155,13.5,18.5,0.07,7,"[""Take profits when price approaches the SMA50 ($20.27) alongside a daily RSI reading exceeding 65, or immediately upon a confirmed bearish MACD crossover on the daily timeframe.""]",16.805,2026-04-21T22:04:09.305612,16.805,15.896551724137927,2026-04-21,16.805,-0.14854426619131658,DESK_DECISION,decision_date_close,704.08,704.08
16,186,LBRDP,CLOSED,2026-04-24,21.84,10000.0,6.916556902002107,21.2,22.68,0.07,5,"[""RSI crosses above 60 and price reaches the $23.36 pre-drop gap fill.""]",22.5,2026-05-04T19:33:54.948495,22.0,0.7326007326007333,2026-05-04,22.0,0.7326007326007333,DESK_DECISION,decision_date_close,713.94,718.01
17,176,VRSN,CLOSED,2026-04-24,269.2,10000.0,7.1049759051203365,270.5,276.5,5.0,14,"[""RSI exceeds 70 and price enters the $276-$285 zone, or if the broader Nasdaq software sector fails to demonstrate an aggregate recovery.""]",276.005,2026-05-06T20:37:11.703926,276.005,2.527860326894505,2026-05-08,276.5,2.711738484398221,TAKE_PROFIT,decision_date_close,713.94,737.62
18,171,NMR,CLOSED,2026-04-24,7.87,10000.0,5.252302111431494,7.75,8.15,5.0,14,"[""RSI exceeds 65 and price faces rejection near the converging 50-day SMA ($8.29) and prior resistance zones.""]",7.86,2026-04-24T21:47:44.810395,7.86,2.7450980392156854,2026-04-27,7.74,-1.651842439644217,STOP_LOSS,decision_date_close,713.94,715.17
19,196,DPZ,CLOSED,2026-04-27,333.4501,10000.0,7.695388128713304,314.5,366.0,0.07,14,"[""RSI recovers above 60 and price fully fills the earnings gap near $366, or hits resistance at the 50-day moving average.""]",337.895,2026-05-04T19:31:53.017550,329.94,-1.0526612527631638,2026-05-04,329.94,-1.0526612527631638,DESK_DECISION,price_at_decision,715.17,718.01
21,218,ALLE,CLOSED,2026-04-28,137.33,10000.0,5.759900476881608,132.5,144.0,0.07,5,"[""Price reaches the SMA20 ($144.00) or RSI recovers above 50, indicating the mechanical mean-reversion bounce is complete.""]",137.33,2026-05-04T19:31:53.016434,132.65,-3.407849705089934,2026-05-05,132.47,-3.5389208475933978,STOP_LOSS,price_at_decision,711.69,723.77
22,214,ZBH,CLOSED,2026-04-28,86.05,10000.0,5.668476409647164,82.5,88.5,0.07,7,"[""RSI approaches 60 and price hits the EMA5 resistance zone ($88.50 - $90.40).""]",86.05,2026-04-28T20:30:56.396643,82.89,-3.6722835560720473,2026-04-28,82.89,-3.6722835560720473,DESK_DECISION,price_at_decision,711.69,711.69
23,208,SFD,CLOSED,2026-04-28,26.83,10000.0,5.564606816782245,24.55,27.5,0.07,14,"[""Price reaches the dynamic resistance of the SMA20 ($28.67) or daily Stochastics signal overbought territory (>80).""]",26.83,2026-04-28T20:37:40.239571,26.57,-0.9690644800596273,2026-04-28,26.57,-0.9690644800596273,DESK_DECISION,price_at_decision,711.69,711.69
24,203,AWI,CLOSED,2026-04-28,163.175,10000.0,5.931896074222804,157.5,173.0,5.0,14,"[""Take 50% profit at $171, trail stop the rest to $176. Exit completely if SMA50 ($173) rejects price twice.""]",170.1,2026-05-08T20:04:58.362257,163.0,-0.10724682089781605,2026-05-08,163.0,-0.10724682089781605,DESK_DECISION,price_at_decision,711.69,737.62
25,243,CRS,CLOSED,2026-04-29,400.32,10000.0,5.537971044697816,365.5,415.0,0.07,7,"[""RSI > 60 and price hits the $415-$430 resistance zone""]",400.32,,,,2026-04-30,415.0,3.667066346922464,TAKE_PROFIT,price_at_decision,711.58,718.66
26,235,SOFI,CLOSED,2026-04-29,16.0825,10000.0,6.901080945198592,13.9,17.65,0.07,14,"[""RSI > 65 and price approaches SMA50 ($17.73) or pre-drop gap fill ($18.36).""]",16.155,2026-04-30T19:16:32.753915,16.155,0.4508005596144975,2026-04-30,16.155,0.4508005596144975,DESK_DECISION,price_at_decision,711.58,718.66
27,233,REGN,CLOSED,2026-04-29,686.265,10000.0,5.473496296124991,668.0,724.9,0.07,14,"[""RSI recovers above 55 and price stalls at the descending 20-day SMA resistance.""]",686.265,2026-04-29T19:07:40.050702,678.9,-1.073200585779547,2026-04-29,678.9,-1.073200585779547,DESK_DECISION,price_at_decision,711.58,711.58
28,258,WTW,ACTIVE,2026-04-30,248.99,10000.0,7.309369390390383,253.5,265.0,5.0,14,"[""RSI > 65 and failure to break above the 50-day SMA resistance.""]",259.91,2026-05-10T09:50:44.435365,256.44,2.992088035664078,,,,,price_at_decision,718.66,
29,271,NIO,CLOSED,2026-05-01,5.89,10000.0,5.844167569519682,5.25,6.38,0.07,14,"[""RSI approaches 60 and price enters the $6.35-$6.45 resistance zone.""]",5.92,2026-05-01T19:59:50.512200,5.92,0.509337860780989,2026-05-01,5.92,0.509337860780989,DESK_DECISION,price_at_decision,720.65,720.65
30,289,UPS,CLOSED,2026-05-04,98.86,10000.0,5.908983654382427,94.5,102.5,0.07,14,"[""RSI approaches 60 or price faces rejection at the SMA50 (103.30).""]",98.86,2026-05-04T19:25:34.315562,97.49,-1.3857980983208624,2026-05-04,97.49,-1.3857980983208624,DESK_DECISION,price_at_decision,718.01,718.01
31,319,AMTM,CLOSED,2026-05-05,24.34,10000.0,5.310559006211181,21.9,26.64,0.07,7,"[""Price touches the 50-day SMA or the Q2 earnings call reveals sustained free cash flow deficits.""]",24.34,2026-05-05T20:47:31.832808,24.11,-0.944946589975351,2026-05-05,24.11,-0.944946589975351,DESK_DECISION,price_at_decision,723.77,723.77
32,306,APTV,CLOSED,2026-05-05,55.09,10000.0,5.75963638243161,52.0,57.5,5.0,3,"[""RSI > 65 and Price hits major technical resistance near the 50-day SMA ($60.16).""]",56.85,2026-05-06T20:37:11.700047,56.85,3.1947721909602436,2026-05-08,57.5,4.374659647848968,TAKE_PROFIT,price_at_decision,723.77,737.62
33,335,NICE,CLOSED,2026-05-06,100.19,10000.0,7.5,89.0,112.0,0.07,14,"[""Price approaches Citi's $119 PT or the SMA50 resistance at $111.86, combined with RSI > 60.""]",100.19,2026-05-06T19:55:14.656393,96.71,-3.47340053897595,2026-05-08,91.43,-8.743387563629096,TRAILING_STOP,price_at_decision,733.83,737.62
34,333,GOLF,CLOSED,2026-05-06,86.32,10000.0,5.876446562287273,84.5,90.8,4.0,5,"[""RSI recovers above 50 and price stalls at the $93.16 gap-fill resistance.""]",86.93,2026-05-06T20:03:51.962377,86.93,0.706672845227078,2026-05-08,90.8,5.189990732159412,TAKE_PROFIT,price_at_decision,733.83,737.62
35,327,CE,CLOSED,2026-05-06,62.42,10000.0,6.242155540445644,61.4,65.4,5.0,14,"[""Price enters the $65-$67 resistance zone (hugging SMA20 and SMA30) alongside stochastic K/D bearish crossover, or if 30-year Treasury yields spike above 5.1%.""]",63.475,2026-05-06T20:08:50.054248,63.475,1.690163409163729,2026-05-08,56.71,-9.147709067606538,STOP_LOSS,price_at_decision,733.83,737.62
36,325,CART,ACTIVE,2026-05-06,40.01,10000.0,7.506383876754249,37.95,44.03,5.0,14,"[""RSI approaches 65 and price faces resistance near the upper Bollinger Band or pre-drop highs.""]",40.34,2026-05-10T09:50:44.433049,40.34,0.8247938015496262,,,,,price_at_decision,733.83,
37,324,ANET,CLOSED,2026-05-06,147.06,10000.0,7.178289634229007,134.5,157.43,0.07,14,"[""Price reaches the $164.50 resistance (SMA20) or bullish momentum stalls as indicated by MACD histogram flattening.""]",147.06,2026-05-06T20:23:41.390131,141.545,-3.750169998640021,2026-05-06,141.545,-3.750169998640021,DESK_DECISION,price_at_decision,733.83,733.83
38,323,ALC,CLOSED,2026-05-06,67.25,10000.0,7.770212326290231,64.25,71.5,0.07,14,"[""RSI > 55 and price testing SMA10 or gap resistance at $74.45""]",67.25,2026-05-06T20:31:33.043324,66.15,-1.6356877323419992,2026-05-08,62.72,-6.736059479553905,STOP_LOSS,price_at_decision,733.83,737.62
39,359,MSI,ACTIVE,2026-05-08,387.64,10000.0,6.465480502876625,374.0,415.0,0.07,14,"[""Price approaches 200-day SMA ($430) with RSI recovering above 60""]",387.64,2026-05-10T09:21:03.559652,383.86,-0.9751315653699238,,,,,price_at_decision,737.62,
40,355,TOST,ACTIVE,2026-05-08,24.1,10000.0,7.41595538566267,22.65,26.5,0.07,14,"[""Price re-enters the lower Bollinger Band ($26.15) and hits $26.50 resistance; close remainder near SMA50 ($27.85).""]",25.045,2026-05-10T09:27:15.891801,25.045,3.921161825726142,,,,,buy_limit_midpoint,737.62,
41,350,HUBS,ACTIVE,2026-05-08,184.25,10000.0,7.5,189.0,215.0,4.0,14,"[""Price reaches the 20-day SMA or daily RSI recovers above 50 signaling momentum exhaustion.""]",197.28,2026-05-10T09:32:19.892378,197.28,7.071913161465401,,,,,buy_limit_midpoint,737.62,
42,348,FLR,ACTIVE,2026-05-08,42.75,10000.0,7.243840732485994,41.5,45.5,5.0,14,"[""Price reaches $48-$50 resistance zone and daily RSI exceeds 65.""]",44.495,2026-05-10T09:39:10.758557,43.3,1.2865497076023324,,,,,buy_limit_midpoint,737.62,
43,346,EXPE,CLOSED,2026-05-08,225.5,10000.0,6.044991738353817,214.5,236.9,0.07,14,"[""Price approaches the 200-day SMA ($236.99) and prints a bearish reversal candle on the hourly chart.""]",236.31,2026-05-10T09:44:37.585730,229.78,1.898004434589801,2026-05-10,229.78,1.898004434589801,DESK_DECISION,buy_limit_midpoint,737.62,
